Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
42,Scrypt,PoW/PoS,41.99995383,42.0
404,Scrypt,PoW/PoS,1055184902.0,532000000.0
1337,X13,PoW/PoS,29279424623.0,314159000000.0
BTC,SHA-256,PoW,17927175.0,21000000.0
ETH,Ethash,PoW,107684222.7,0.0
LTC,Scrypt,PoW,63039243.3,84000000.0
DASH,X11,PoW/PoS,9031294.376,22000000.0
XMR,CryptoNight-V7,PoW,17201143.14,0.0
ETC,Ethash,PoW,113359703.0,210000000.0
ZEC,Equihash,PoW,7383056.25,21000000.0
BTS,SHA-512,PoS,2741570000.0,3600570502.0
DGB,Multiple,PoW,11406219141.0,21000000000.0
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0
XPY,SHA-256,PoS,11995334.88,12500000.0
PRC,Scrypt,PoW,5768310.0,21000000.0
KOBO,X15,PoW/PoS,25542535.59,350000000.0
SPR,X11,PoW,11149734.0,20000000.0
ARG,Scrypt,PoW,12205795.44,64000000.0
AUR,Scrypt,PoW/PoS,18135099.99,16768584.0
BLU,Scrypt,PoW/PoS,635423900.0,0.0
XMY,Multiple,PoW,1688254250.0,2000000000.0
MOON,Scrypt,PoW,88.0,384000000000.0
ZET,SHA-256,PoW,170204389.8,169795588.0
SXC,Scrypt,PoW,128940951.2,250000000.0
QTL,Scrypt,PoW,7357794.793,100000000.0
ENRG,Scrypt,PoW/PoS,123062801.1,0.0
QRK,Quark,PoW,259557164.9,247000000.0
RIC,Groestl,PoW,49548585.14,84000000.0
DGC,Scrypt,PoW,33442988.34,48166000.0
BTB,Scrypt,PoW/PoS,42579.4769,500000.0
CAT,Scrypt,PoW,7219956.646,21000000.0
CBX,Scrypt,PoW/PoS,1039116.651,1000000.0
CCN,Scrypt,PoW,4703879.518,13140000.0
CRYPT,X11,PoW,4996986.206,18000000.0
CSC,Scrypt,PoC,39999997300.0,40000000000.0
DMD,Groestl,PoW/PoS,3304487.747,4380000.0
XVG,Multiple,PoW,15929530669.0,16555000000.0
DVC,SHA-256,PoW,18773857500.0,21000000000.0
EAC,Scrypt,PoW,12539015187.0,13500000000.0
EFL,Scrypt,PoW,20910478.81,21000000.0
EMC2,Scrypt,PoW,218871896.5,299792458.0
EMD,Scrypt,PoW,19496786.31,32000000.0
EXCL,PoS,PoS,5679705.0,0.0
FLT,Scrypt,PoS/PoW/PoT,461829905.3,0.0
FRK,Scrypt,PoW,1142732.149,11235813.0
FTC,NeoScrypt,PoW,208669093.0,336000000.0
GDC,Scrypt,PoW,884125802.0,1420609614.0
GLC,Scrypt,PoW,65672720.47,70000000.0
GLD,Scrypt,PoW,41658648.0,72245700.0
HBN,Scrypt,PoW/PoS,89266933.68,120000000.0
HYP,X11,PoS,1678520091.0,0.0
IFC,Scrypt,PoW,90595753019.0,90600000000.0
IOC,X11,PoW/PoS,17650913.97,22000000.0
IXC,SHA-256,PoW,21089349.0,21000000.0
KGC,Scrypt,PoW,151447649.8,265420800.0
LKY,Scrypt,PoW,19326319.14,20000000.0
LTB,Scrypt,PoW,1104344.229,1350000.0
MAX,SHA3,PoW/PoS,61445805.0,100000000.0
MEC,Scrypt,PoW,38151999.99,42000000.0
MED,HybridScryptHash256,PoW,40431856.9,200000000.0
MINT,Scrypt,PoS,21293925445.0,0.0
MINC,Scrypt,PoW,5804204.888,10000000.0
MZC,SHA-256,PoW/PoS,1613836100.0,2419200000.0
NAUT,Scrypt,PoS,16180000.0,16180000.0
NAV,X13,PoW/PoS,66087096.21,0.0
NOBL,Scrypt,PoW,2366066306.0,15000000000.0
NMC,SHA-256,PoW,14736400.0,21000000.0
NYAN,Scrypt,PoW,334709223.5,337000000.0
OPAL,X13,PoW/PoS,15156364.33,0.0
ORB,NeoScrypt,PoW/PoS,3220616.279,3770000.0
POT,Scrypt,PoW/PoS,222677226.0,420000000.0
PXC,Scrypt,PoW/PoS,73959274.63,98000000.0
RDD,Scrypt,PoW/PoS,29315567169.0,0.0
RPC,Scrypt,PoW,1104157.422,21000000.0
SBC,Scrypt,PoW,24215181.73,250000000.0
SMC,Scrypt,PoW,25593737.14,51200000.0
SUPER,X11,PoS,50707661.75,0.0
SYNC,X11,PoW/PoS,1177.0,1000.0
SYS,SHA-256,PoW,563336541.3,888000000.0
TES,Multiple,PoS,80260463.73,100000000.0
TGC,SHA-256,PoW,43536800.0,47011968.0
TIT,PHI1612,PoS,1622326490.0,2300000000.0
TOR,X11,PoW/PoS,1431851.0,10000000.0
TRC,SHA-256,PoW,22935396.0,42000000.0
UNB,SHA-256,PoW,2278150.0,80000000.0
UNO,SHA-256,PoW,200911.7915,250000.0
URO,X11,PoW,1207310.0,0.0
USDE,Scrypt,PoW/PoS,1098952593.0,1600000000.0
UTC,Scrypt,PoW/PoS,50235211.14,100000000.0
VIA,Scrypt,PoW,23150892.17,23000000.0
VRC,Scrypt,PoST,32021108.41,0.0
VTC,Lyra2REv2,PoW,51173723.82,84000000.0
WDC,Scrypt,PoW,119606941.0,265420800.0
XC,X11,PoW/PoS,6950831.097,5500000.0
XCR,Multiple,PoS,100000000.0,0.0
XJO,SHA-256,PoW,39195739.36,45000000.0
XST,X13,PoW/PoS,33093725.41,0.0
ZCC,Scrypt,PoW/PoS,147990238.0,1000000000.0
BCN,CryptoNight,PoW,184067000000.0,184467000000.0
XDN,CryptoNight,PoW,6906587610.0,10000000000.0
BURST,Shabal256,PoC,1813033920.0,2158812800.0
SJCX,Counterparty,PoS,51173144.0,500000000.0
MONA,Scrypt,PoW,68194674.87,105120000.0
NTRN,SHA-256,PoW/PoS,39121694.0,68000000.0
FAIR,Groestl,PoW/PoS,53193831.0,0.0
NLG,Scrypt,PoW,415032420.0,1680000000.0
RBY,Scrypt,PoS,27184490.39,0.0
PTC,Scrypt,PoW,137517654.4,166386000.0
KORE,X13,PoW/PoS,2022464.887,12000000.0
WBB,Scrypt,PoW,181919.2436,2628000.0
NOTE,Scrypt,PoS,174646113.9,500000000.0
FLO,Scrypt,PoW,152270664.9,160000000.0
8BIT,Scrypt,PoW/PoS,1467841.0,0.0
STV,X13,PoW/PoS,7096834.0,10000000.0
ABY,Scrypt,PoW,792537250.0,1000000000.0
FLDC,Stanford Folding,PoW,719416990.0,1000000000.0
U,X11,PoS,2689812.0,20000000.0
UIS,Multiple,PoW,65113302.0,0.0
CYP,QuBit,PoW,6365285.0,0.0
OMC,Scrypt,PoW,10140044.44,3371337.0
VTR,Scrypt,PoW/PoS,11604722.0,20000000.0
